clip	seed	metric	gmr_final100	snmr_final100	favorable_effect
walk1	0	Train/mean_reward	0.94124544	0.91418183	-0.02706361
walk1	0	Train/mean_episode_length	50.3862	49.792	-0.59420013
walk1	0	Env/average_episode_length	50.297722	49.815401	-0.48232086
walk1	0	Env/motion/error_ref_pos	0.32155828	0.32639485	-0.0048365659
walk1	0	Env/motion/error_ref_rot	0.18991756	0.21297025	-0.023052692
walk1	0	Env/motion/error_ref_lin_vel	0.88743324	0.89804152	-0.010608278
walk1	0	Env/motion/error_ref_ang_vel	1.7954893	1.8800156	-0.084526334
walk1	0	Env/motion/error_body_pos	6.7978224	6.7924421	0.0053803444
walk1	0	Env/motion/error_body_rot	0.68254872	0.67828385	0.0042648673
walk1	0	Env/motion/error_body_lin_vel	1.1863772	1.1935738	-0.0071965718
walk1	0	Env/motion/error_body_ang_vel	2.8335472	2.8803851	-0.046837845
walk1	0	Env/motion/error_joint_pos	1.3344165	1.3869688	-0.052552239
walk1	0	Env/motion/error_joint_vel	10.115804	9.9690994	0.14670482
walk1	1	Train/mean_reward	0.91109193	0.89956399	-0.011527941
walk1	1	Train/mean_episode_length	49.3419	48.5196	-0.82230011
walk1	1	Env/average_episode_length	49.427845	48.609863	-0.81798115
walk1	1	Env/motion/error_ref_pos	0.31392419	0.31893781	-0.0050136137
walk1	1	Env/motion/error_ref_rot	0.20707064	0.21673173	-0.0096610884
walk1	1	Env/motion/error_ref_lin_vel	0.88416314	0.89953207	-0.015368931
walk1	1	Env/motion/error_ref_ang_vel	1.8165734	1.8806032	-0.064029825
walk1	1	Env/motion/error_body_pos	6.8117175	6.8135271	-0.0018096256
walk1	1	Env/motion/error_body_rot	0.67887284	0.67785059	0.0010222536
walk1	1	Env/motion/error_body_lin_vel	1.1876241	1.1860513	0.0015727878
walk1	1	Env/motion/error_body_ang_vel	2.8339836	2.8516397	-0.01765614
walk1	1	Env/motion/error_joint_pos	1.3358163	1.321374	0.014442308
